n_permutations_length,width,layers,model,final_train_loss,train_r2,train_rmse,train_spearman,test_r2,test_rmse,test_spearman,rmse_gap,spearman_gap,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
16,4,[4],MLP_4_epochs10_rwlen120_n_rw10000,878.8300393270551,0.2794485092163086,29.404109954833984,0.5385577314522895,0.2641708254814148,29.714200973510742,0.5181536782272984,0.3100910186767578,0.02040405322499106,6.573590993881226,0.22554326057434082,10,10000,120
16,8,[8],MLP_8_epochs10_rwlen120_n_rw10000,392.9635621679521,0.6827760934829712,19.510053634643555,0.8299294984760747,0.6682265996932983,19.95245361328125,0.8239451966658153,0.4423999786376953,0.005984301810259329,6.599857330322266,0.38116455078125,10,10000,120
16,16,[16],MLP_16_epochs10_rwlen120_n_rw10000,286.69963597112144,0.762993335723877,16.863815307617188,0.8705656118342774,0.7485607862472534,17.36968994140625,0.8624582098619493,0.5058746337890625,0.008107401972328065,6.591527700424194,0.3748133182525635,10,10000,120
16,24,[24],MLP_24_epochs10_rwlen120_n_rw10000,286.2702573574444,0.7644152641296387,16.81315040588379,0.8693027871539117,0.7507438659667969,17.294118881225586,0.8628423423086653,0.4809684753417969,0.006460444845246438,6.597930669784546,0.22507047653198242,10,10000,120
16,32,[32],MLP_32_epochs10_rwlen120_n_rw10000,274.41493977621553,0.7738918662071228,16.47151756286621,0.877787418374609,0.7536481022834778,17.193073272705078,0.8653696415337023,0.7215557098388672,0.012417776840906725,6.595621347427368,0.3763718605041504,10,10000,120
16,48,[48],MLP_48_epochs10_rwlen120_n_rw10000,271.6020103428551,0.7776381969451904,16.334491729736328,0.8778168517215564,0.763921856880188,16.83074951171875,0.8706746037159993,0.4962577819824219,0.0071422480055571835,6.639483690261841,0.22551965713500977,10,10000,120
16,64,[64],MLP_64_epochs10_rwlen120_n_rw10000,269.92908501218204,0.7783403992652893,16.308679580688477,0.875479017415374,0.7706378102302551,16.58962059020996,0.8717050627914738,0.2809410095214844,0.0037739546239002886,6.6062376499176025,0.3776569366455078,10,10000,120
16,128,[128],MLP_128_epochs10_rwlen120_n_rw10000,272.0507898949112,0.7776628136634827,16.333587646484375,0.8741132398237482,0.7761135101318359,16.390398025512695,0.8747304222152222,0.05681037902832031,-0.0006171823914740138,6.712123870849609,0.3812708854675293,10,10000,120
16,256,[256],MLP_256_epochs10_rwlen120_n_rw10000,250.78779314321056,0.7962594032287598,15.635591506958008,0.8855453649698577,0.7720200419425964,16.53955841064453,0.8738535964806362,0.9039669036865234,0.011691768489221488,6.70304536819458,0.22725200653076172,10,10000,120
16,512,[512],MLP_512_epochs10_rwlen120_n_rw10000,256.26066688303246,0.7942492961883545,15.712533950805664,0.8846394264618269,0.7799795269966125,16.248268127441406,0.8780030808531527,0.5357341766357422,0.00663634560867421,6.714178800582886,0.38011741638183594,10,10000,120
16,1024,[1024],MLP_1024_epochs10_rwlen120_n_rw10000,249.88305455751387,0.8020281791687012,15.41264820098877,0.889500651677253,0.7720643281936646,16.537952423095703,0.8732146611629605,1.1253042221069336,0.01628599051429247,6.689156770706177,0.22656893730163574,10,10000,120
20,4,[4],MLP_4_epochs10_rwlen190_n_rw10000,1349.465435225388,0.5656726956367493,36.14643859863281,0.7667498017980919,0.561464250087738,36.32114028930664,0.7651207286736711,0.17470169067382812,0.0016290731244208434,10.452274799346924,0.5173795223236084,10,10000,190
20,8,[8],MLP_8_epochs10_rwlen190_n_rw10000,723.8341928021662,0.7630614042282104,26.69776153564453,0.8725768481218238,0.7488726377487183,27.48552131652832,0.8642220063567052,0.7877597808837891,0.008354841765118581,10.486440896987915,0.5151035785675049,10,10000,190
20,16,[16],MLP_16_epochs10_rwlen190_n_rw10000,723.0738313280303,0.7623351812362671,26.738649368286133,0.8737332299375137,0.7555685043334961,27.11661720275879,0.8706544049241682,0.37796783447265625,0.003078825013345443,10.491741418838501,0.5210511684417725,10,10000,190
20,24,[24],MLP_24_epochs10_rwlen190_n_rw10000,618.7009572982788,0.797888457775116,24.657697677612305,0.8888709651353804,0.7907043695449829,25.092103958129883,0.8840396884294629,0.4344062805175781,0.004831276705917542,10.527154207229614,0.5108551979064941,10,10000,190
