n,model,params_hash,params,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,train_spearman,val_spearman,test_spearman,fit_time,predict_time,n_features,n_train,n_val,n_test,best_iteration,model_path
8,lgb,learning_rate=0.05_max_depth=6_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 6, ""learning_rate"": 0.05}",0.5086857574494923,0.49965850844849324,0.5013265109824014,12.956154827445502,13.056164578653963,13.045011618517458,0.7107108934227395,0.7040281902813088,0.7053352608115854,30.014135122299194,0.6197834014892578,83,425000,75000,32000,1000,
8,lgb,learning_rate=0.1_max_depth=6_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 6, ""learning_rate"": 0.1}",0.5129048824804869,0.49731337429031164,0.5013527237578522,12.890341348791956,13.08778432335027,13.04466875844814,0.71370097008814,0.7016844839193738,0.705506080148777,22.877422094345093,0.41483402252197266,83,425000,75000,32000,651,
8,lgb,learning_rate=0.2_max_depth=6_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 6, ""learning_rate"": 0.2}",0.509614016285761,0.49975668890319047,0.5018009735266478,12.938518655589345,13.05852387712976,13.038804308065654,0.7114231517728692,0.7041595007322238,0.705783184265557,10.880697011947632,0.15761709213256836,83,425000,75000,32000,244,
8,lgb,learning_rate=0.05_max_depth=8_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 8, ""learning_rate"": 0.05}",0.5140278666946938,0.49634986205990284,0.5032114733959159,12.888265668650597,13.068656726020912,13.020333509693355,0.7146747291441011,0.7011177667931567,0.7067338552485599,20.48141098022461,0.4117288589477539,83,425000,75000,32000,435,
8,lgb,learning_rate=0.1_max_depth=8_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 8, ""learning_rate"": 0.1}",0.5101156355954592,0.4956517390068328,0.5019806929610466,12.928683227004028,13.094446634873494,13.036452298345697,0.7113720332904493,0.7006022165885489,0.7058787039153793,11.31886601448059,0.17818951606750488,83,425000,75000,32000,182,
8,lgb,learning_rate=0.2_max_depth=8_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 8, ""learning_rate"": 0.2}",0.5061451889791894,0.48446460719092643,0.501517922836628,12.993323627153444,13.263182858732304,13.042507766223515,0.709110723236146,0.693352150954312,0.7055997641007773,8.825881004333496,0.06344270706176758,83,425000,75000,32000,75,
8,lgb,learning_rate=0.05_max_depth=10_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 10, ""learning_rate"": 0.05}",0.5090024402233588,0.5009808490466925,0.5035179223900641,12.935558950410853,13.060206426706618,13.016317028422081,0.7108424113801795,0.7042766330028353,0.7072005270301385,16.03869891166687,0.2930114269256592,83,425000,75000,32000,255,
8,lgb,learning_rate=0.1_max_depth=10_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 10, ""learning_rate"": 0.1}",0.5079854006599009,0.4972169364085427,0.5046589324792725,12.960540882595819,13.115377536748925,13.001351440963674,0.7101683492863693,0.7026772545422698,0.7077847565413092,9.230049848556519,0.10843229293823242,83,425000,75000,32000,100,
8,lgb,learning_rate=0.2_max_depth=10_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 10, ""learning_rate"": 0.2}",0.5108350013853314,0.4967708936197599,0.5020175433758766,12.925411883622784,13.11481257088348,13.035969980135047,0.7120784020656531,0.7022417560175191,0.7060444177637859,7.419074058532715,0.05358314514160156,83,425000,75000,32000,57,
8,lgb,learning_rate=0.05_max_depth=12_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 12, ""learning_rate"": 0.05}",0.5100797461311143,0.4985025342342816,0.5019749243038893,12.925575215561437,13.102952107748271,13.036527800043144,0.7118259567161135,0.7031488283361804,0.7055617092645015,12.527610301971436,0.192610502243042,83,425000,75000,32000,170,
8,lgb,learning_rate=0.1_max_depth=12_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 12, ""learning_rate"": 0.1}",0.5109164032482008,0.5003014993091357,0.503822411065164,12.921926124017507,13.068165995026755,13.012325012234085,0.7125819757410506,0.7044795438096007,0.706936939758555,8.400477409362793,0.08608007431030273,83,425000,75000,32000,85,
8,lgb,learning_rate=0.2_max_depth=12_num_leaves=255,"{""num_leaves"": 255, ""max_depth"": 12, ""learning_rate"": 0.2}",0.5102656471266158,0.4980911330469201,0.5015161643427577,12.92792784077286,13.10181634083989,13.042530771212846,0.7116967845408895,0.7029105605007712,0.7053798740922048,7.9707863330841064,0.04941225051879883,83,425000,75000,32000,51,
8,mlp,epochs=15_hidden_dim=128_learning_rate=0.001,"{""hidden_dim"": 128, ""epochs"": 15, ""learning_rate"": 0.001}",-15.472549438476562,0.501462459564209,0.501462459564209,11.657552719116211,13.043232917785645,13.043232917785645,0.5872484026803901,0.7067401879003344,0.7067401879003344,25.110865116119385,0.0012042522430419922,64,1280000,32000,32000,15,
8,mlp,epochs=25_hidden_dim=128_learning_rate=0.001,"{""hidden_dim"": 128, ""epochs"": 25, ""learning_rate"": 0.001}",-14.054610252380371,0.5039819478988647,0.5039819478988647,11.144529342651367,13.010232925415039,13.010232925415039,0.5631092823065046,0.7080011141501767,0.7080011141501767,41.35765027999878,0.0013651847839355469,64,1280000,32000,32000,25,
8,mlp,epochs=15_hidden_dim=256_learning_rate=0.001,"{""hidden_dim"": 256, ""epochs"": 15, ""learning_rate"": 0.001}",-13.992533683776855,0.5035427808761597,0.5035427808761597,11.121528625488281,13.0159912109375,13.0159912109375,0.5708958553851711,0.7077682691409822,0.7077682691409822,24.662397384643555,0.0017321109771728516,64,1280000,32000,32000,15,
8,mlp,epochs=25_hidden_dim=256_learning_rate=0.001,"{""hidden_dim"": 256, ""epochs"": 25, ""learning_rate"": 0.001}",-14.941141128540039,0.5048187971115112,0.5048187971115112,11.467973709106445,12.999253273010254,12.999253273010254,0.5694150661859918,0.7084505725210752,0.7084505725210752,40.628655195236206,0.0017077922821044922,64,1280000,32000,32000,25,
8,mlp,epochs=15_hidden_dim=512_learning_rate=0.001,"{""hidden_dim"": 512, ""epochs"": 15, ""learning_rate"": 0.001}",-14.261094093322754,0.504287838935852,0.504287838935852,11.220696449279785,13.006220817565918,13.006220817565918,0.5397968027319076,0.7080319108030988,0.7080319108030988,25.329237699508667,0.002779245376586914,64,1280000,32000,32000,15,
8,mlp,epochs=25_hidden_dim=512_learning_rate=0.001,"{""hidden_dim"": 512, ""epochs"": 25, ""learning_rate"": 0.001}",-15.105997085571289,0.5053305625915527,0.5053305625915527,11.527119636535645,12.992533683776855,12.992533683776855,0.5623928926662719,0.7091168022665009,0.7091168022665009,43.58120942115784,0.0026221275329589844,64,1280000,32000,32000,25,
16,lgb,learning_rate=0.05_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.05}",0.5962446986046326,0.5844663316391318,0.57251603382514,23.450713218385303,23.85545164665118,24.1582798398443,0.7690012203811692,0.7595176542297666,0.7515962884466454,38.10868978500366,1.075817584991455,131,425000,75000,64000,1000,
16,lgb,learning_rate=0.1_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.1}",0.6035254209146913,0.5806125574276271,0.5712871099886184,23.264520308131083,23.941776085573135,24.19297983068722,0.7744691972627855,0.7567132937726446,0.750393201181751,36.05056691169739,1.0288364887237549,131,425000,75000,64000,1000,
16,lgb,learning_rate=0.2_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.2}",0.62107255327474,0.5808414276077088,0.5689900786737367,22.72274515636563,23.877416941099085,24.257705890926307,0.7864809349445507,0.7581385944490925,0.749822641355731,39.6260552406311,0.9713304042816162,131,425000,75000,64000,999,
16,lgb,learning_rate=0.05_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.05}",0.5928691607977699,0.5844904582186011,0.5713297354524469,23.59050401704473,23.84398828194544,24.19177708796001,0.7667911066480589,0.7606377372187887,0.7506596042048759,37.62211847305298,0.9932489395141602,131,425000,75000,64000,1000,
16,lgb,learning_rate=0.1_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.1}",0.6121730215392269,0.5900136414350895,0.5728509066005257,23.0034212271652,23.669448900183923,24.148815701057313,0.7799572652854516,0.763827286318215,0.7516970604640575,33.739691734313965,0.8723616600036621,131,425000,75000,64000,995,
16,lgb,learning_rate=0.2_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.2}",0.6271405493005364,0.5876896881401537,0.5676994198893776,22.577621655149045,23.718778683411372,24.293998579814467,0.7906024872469167,0.7623967781271486,0.7486767889824729,31.740877151489258,0.7998354434967041,131,425000,75000,64000,996,
16,lgb,learning_rate=0.05_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.05}",0.5960958160656016,0.580280100119422,0.5732326570067128,23.47401047297971,23.91315877416928,24.138022185373543,0.768799151457012,0.7572093991463612,0.7517697822347872,36.13249397277832,0.9955945014953613,131,425000,75000,64000,1000,
16,lgb,learning_rate=0.1_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.1}",0.6046208858499957,0.5760739866798166,0.5741531630688379,23.203160993466177,24.0582946294312,24.111976155435062,0.7753086652426966,0.755006767298845,0.7524549665732485,40.72076606750488,0.8447878360748291,131,425000,75000,64000,1000,
16,lgb,learning_rate=0.2_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.2}",0.6264547636895149,0.5829772654214131,0.5668648463615379,22.603266653076293,23.885893242047903,24.317437539858314,0.790264187495326,0.7604006444522741,0.7480720842972032,31.740504026412964,0.7347288131713867,131,425000,75000,64000,999,
