coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,3,4,17,14,1,17,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,4,18,15,1,18,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,4,19,16,1,19,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,4,20,17,1,20,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,9,5,1,9,"[1, 1, 2, 3, 1, 1]",
2Different,4,1,10,6,1,10,"[1, 1, 2, 3, 1, 1, 1]",
2Different,4,1,11,7,1,11,"[1, 1, 2, 3, 1, 1, 1, 1]",
2Different,4,1,12,8,1,12,"[1, 1, 2, 3, 1, 1, 1, 1, 1]",
2Different,4,1,13,9,1,13,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1]",
2Different,4,1,14,10,1,14,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,15,11,1,15,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,16,12,1,16,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,17,13,1,17,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,18,14,1,18,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,19,15,1,19,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,1,20,16,1,20,"[1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,9,5,1,9,"[1, 1, 1, 2, 3, 1]",
2Different,4,2,10,6,1,10,"[1, 1, 1, 2, 3, 1, 1]",
2Different,4,2,11,7,1,11,"[1, 1, 1, 2, 3, 1, 1, 1]",
2Different,4,2,12,8,1,12,"[1, 1, 1, 2, 3, 1, 1, 1, 1]",
2Different,4,2,13,9,1,13,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1]",
2Different,4,2,14,10,1,14,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1]",
2Different,4,2,15,11,1,15,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,16,12,1,16,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,17,13,1,17,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,18,14,1,18,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,19,15,1,19,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,2,20,16,1,20,"[1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,3,9,5,3,9,"[1, 1, 1, 1, 2, 3]",
2Different,4,3,10,6,1,10,"[1, 1, 1, 1, 2, 3, 1]",
2Different,4,3,11,7,1,11,"[1, 1, 1, 1, 2, 3, 1, 1]",
2Different,4,3,12,8,1,12,"[1, 1, 1, 1, 2, 3, 1, 1, 1]",
2Different,4,3,13,9,1,13,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1]",
2Different,4,3,14,10,1,14,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]",
2Different,4,3,15,11,1,15,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1]",
2Different,4,3,16,12,1,16,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,3,17,13,1,17,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,3,18,14,1,18,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,3,19,15,1,19,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,3,20,16,1,20,"[1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,4,9,6,2,9,"[1, 1, 1, 1, 1, 2, 2]",
2Different,4,4,10,6,3,10,"[1, 1, 1, 1, 1, 2, 3]",
2Different,4,4,11,7,1,11,"[1, 1, 1, 1, 1, 2, 3, 1]",
2Different,4,4,12,8,1,12,"[1, 1, 1, 1, 1, 2, 3, 1, 1]",
2Different,4,4,13,9,1,13,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1]",
2Different,4,4,14,10,1,14,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1]",
2Different,4,4,15,11,1,15,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]",
2Different,4,4,16,12,1,16,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1]",
2Different,4,4,17,13,1,17,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,4,18,14,1,18,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,4,19,15,1,19,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,4,4,20,16,1,20,"[1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,1,9,4,2,9,"[1, 1, 2, 3, 2]",
2Different,5,1,10,5,1,10,"[1, 1, 2, 3, 2, 1]",
2Different,5,1,11,6,1,11,"[1, 1, 2, 3, 2, 1, 1]",
2Different,5,1,12,7,1,12,"[1, 1, 2, 3, 2, 1, 1, 1]",
2Different,5,1,13,8,1,13,"[1, 1, 2, 3, 2, 1, 1, 1, 1]",
2Different,5,1,14,9,1,14,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1]",
2Different,5,1,15,10,1,15,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1]",
2Different,5,1,16,11,1,16,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,1,17,12,1,17,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,1,18,13,1,18,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,1,19,14,1,19,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,5,1,20,15,1,20,"[1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
